85,53
47,68
57,35
23,52
77,68
23,92
33,75
87,84
15,37
53,05
71,10
9,55
11,79
38,70
75,66
38,92
73,19
6,35
48,67
98,52
17,18
35,98
80,33
55,90
58,28
2,52
45,85
39,34
53,88
79,50
6,19
25,51
53,85
71,64
42,01
77,31
25,40
55,37
4,79
12,50
30,91
22,91
51,47
39,42
21,28
45,04
40,47
4,71
69,48
90,49
5,56
59,68
10,17
65,86
91,97
67,23
69,70
68,82
33,92
38,74
68,16
79,53
76,82
12,24
49,85
50,54
98,56
56,83
52,14
93,81
64,62
16,18
53,72
4,72
59,11
84,32
52,96
8,08
70,26
40,80
14,50
58,41
72,94
58,78
88,12
77,87
42,96
39,94
47,49
69,33
58,48
22,96
18,81
98,90
92,29
58,45
68,89
2,69
75,38
42,71
