24,80
41,02
96,42
21,78
71,16
93,41
37,44
70,45
91,49
8,36
88,85
3,67
15,16
40,59
47,76
25,40
79,00
86,04
29,38
37,52
50,37
92,26
36,44
32,08
67,25
26,20
45,67
35,35
97,32
58,57
42,82
69,22
34,13
24,52
80,21
85,02
42,29
24,76
1,13
68,23
35,39
37,92
73,80
8,62
20,58
25,70
4,68
79,55
71,94
25,28
55,07
72,87
1,26
40,36
68,51
91,19
78,92
61,51
27,08
8,11
20,71
69,40
93,97
68,70
96,64
100,50
67,08
17,69
37,07
83,49
63,76
10,54
8,00
87,13
80,24
84,17
3,04
55,40
21,06
38,08
52,17
43,94
73,65
4,20
79,21
13,81
11,01
64,45
49,31
82,67
41,39
8,50
35,09
81,56
88,37
11,17
96,15
16,27
76,69
48,79
