51,64
19,69
57,96
86,15
30,91
72,58
19,62
56,35
95,70
90,19
49,31
28,98
61,63
64,05
43,45
20,77
57,02
31,50
63,79
82,91
35,03
99,49
97,04
69,06
56,89
38,24
17,83
16,69
72,65
77,06
86,87
36,92
5,80
61,66
47,08
50,16
56,11
13,31
90,42
48,86
70,73
63,50
55,36
16,91
98,22
24,92
80,80
85,79
32,09
99,16
86,21
61,86
71,02
14,99
69,45
15,88
71,39
36,87
14,20
86,74
44,49
83,02
76,71
14,01
55,49
44,50
78,42
81,16
14,21
2,67
64,97
20,27
8,66
100,63
5,23
2,34
21,73
36,58
94,17
12,85
88,30
11,55
92,75
91,29
95,93
82,22
84,52
95,74
5,37
40,80
54,15
38,37
69,07
68,01
95,98
26,65
55,64
82,92
42,16
36,11
