92,46
51,67
13,18
53,24
38,46
63,68
85,55
44,23
76,93
57,96
53,07
13,01
28,46
89,17
68,84
86,27
60,42
55,87
8,58
67,74
90,02
1,51
63,05
13,30
40,15
91,79
47,29
13,08
38,11
16,21
29,07
30,08
53,99
78,08
61,84
100,02
59,69
56,99
18,55
6,43
52,29
50,37
61,96
6,17
26,14
26,68
54,10
96,03
97,03
51,98
3,24
78,77
78,44
83,35
70,00
8,39
85,48
58,31
6,13
68,55
94,82
47,42
79,13
65,66
20,63
79,10
43,70
98,61
75,81
89,87
57,41
100,88
75,64
1,52
1,64
37,48
6,23
77,10
61,57
79,34
24,68
61,91
39,11
70,45
79,09
72,78
21,37
49,71
37,29
59,03
3,84
88,35
91,00
22,04
72,26
56,50
58,58
46,82
80,07
37,91
