62,20
69,96
49,54
58,64
97,23
15,24
67,18
82,23
40,15
100,48
2,59
9,62
34,17
26,75
92,93
27,95
61,81
8,58
79,64
48,21
38,04
68,46
66,37
4,55
33,28
32,73
77,95
14,11
8,26
55,00
6,74
5,10
8,36
44,19
25,13
60,51
9,02
28,51
62,87
17,94
25,68
43,29
97,12
12,30
1,92
91,44
79,12
47,52
67,48
88,22
26,64
35,52
14,53
68,79
44,08
46,77
74,65
6,53
93,04
74,93
91,93
62,78
25,63
30,24
77,97
64,83
9,68
41,20
3,78
87,62
20,84
62,01
30,20
96,99
49,74
54,48
3,88
97,52
74,24
37,72
48,78
16,31
76,58
75,77
64,77
45,64
42,97
4,63
4,08
62,05
69,54
83,04
34,42
37,01
12,30
89,04
12,66
55,61
61,38
73,45
